city_id,time_utc,local_time,temperature,humidity,cloudiness_pc,wind_speed,precipitation_prob,rain_volume,snow_volume
2988507,1655586000,2022-06-18 23:00:00,29.26,37,6,3.62,0,0,0
2988507,1655596800,2022-06-19 02:00:00,25.64,45,25,1.76,0,0,0
2988507,1655607600,2022-06-19 05:00:00,19.4,69,91,5.0,0,0,0
2988507,1655618400,2022-06-19 08:00:00,16.77,79,93,2.36,0.45,0.53,0
2988507,1655629200,2022-06-19 11:00:00,20.57,63,57,3.49,0.28,0.22,0
2988507,1655640000,2022-06-19 14:00:00,25.8,47,53,3.05,0.27,0.2,0
2988507,1655650800,2022-06-19 17:00:00,28.4,42,42,2.92,0.05,0,0
2988507,1655661600,2022-06-19 20:00:00,25.14,57,52,4.76,0.25,0.21,0
2988507,1655672400,2022-06-19 23:00:00,19.37,71,72,4.29,0.6,0.68,0
2988507,1655683200,2022-06-20 02:00:00,15.34,95,86,5.72,0.97,9.29,0
2988507,1655694000,2022-06-20 05:00:00,14.41,93,100,3.65,0.53,0.51,0
2988507,1655704800,2022-06-20 08:00:00,14.4,81,76,3.46,0.43,0,0
2988507,1655715600,2022-06-20 11:00:00,20.26,58,26,3.94,0,0,0
2988507,1655726400,2022-06-20 14:00:00,24.94,47,16,3.81,0,0,0
2988507,1655737200,2022-06-20 17:00:00,26.82,42,5,3.92,0,0,0
2988507,1655748000,2022-06-20 20:00:00,25.31,47,4,4.01,0,0,0
2988507,1655758800,2022-06-20 23:00:00,20.84,57,1,3.07,0,0,0
2988507,1655769600,2022-06-21 02:00:00,18.81,53,33,2.57,0,0,0
2988507,1655780400,2022-06-21 05:00:00,17.42,58,55,2.38,0,0,0
2988507,1655791200,2022-06-21 08:00:00,18.52,59,78,2.38,0.25,0.11,0
2988507,1655802000,2022-06-21 11:00:00,20.9,68,100,1.98,0.7,1.13,0
2988507,1655812800,2022-06-21 14:00:00,24.01,65,100,4.14,0.97,1.22,0
2988507,1655823600,2022-06-21 17:00:00,27.77,52,100,1.58,0,0,0
2988507,1655834400,2022-06-21 20:00:00,22.63,70,92,3.27,0.43,0.76,0
2988507,1655845200,2022-06-21 23:00:00,19.3,82,75,0.71,0.71,1.02,0
2988507,1655856000,2022-06-22 02:00:00,17.83,90,72,1.7,0.88,0.41,0
2988507,1655866800,2022-06-22 05:00:00,17.27,95,100,1.22,0.05,0,0
2988507,1655877600,2022-06-22 08:00:00,18.83,88,92,2.22,0,0,0
2988507,1655888400,2022-06-22 11:00:00,23.96,60,29,2.06,0,0,0
683506,1655467200,2022-06-17 15:00:00,28.64,39,15,3.12,0,0,0
683506,1655478000,2022-06-17 18:00:00,24.97,52,53,4.7,0.35,0,0
683506,1655488800,2022-06-17 21:00:00,20.64,68,89,3.18,0.36,0,0
683506,1655499600,2022-06-18 00:00:00,18.58,81,100,4.05,0.27,0.34,0
683506,1655510400,2022-06-18 03:00:00,18.19,73,97,4.98,0.25,0.11,0
683506,1655521200,2022-06-18 06:00:00,17.37,71,99,4.03,0.2,0,0
683506,1655532000,2022-06-18 09:00:00,18.71,65,99,4.4,0.21,0.16,0
683506,1655542800,2022-06-18 12:00:00,23.99,41,42,5.13,0.27,0,0
683506,1655553600,2022-06-18 15:00:00,25.24,38,45,2.02,0.18,0,0
683506,1655564400,2022-06-18 18:00:00,22.96,45,90,2.67,0.11,0,0
683506,1655575200,2022-06-18 21:00:00,21.09,49,81,2.91,0.25,0,0
683506,1655586000,2022-06-19 00:00:00,18.89,56,62,2.47,0.09,0,0
683506,1655596800,2022-06-19 03:00:00,16.27,68,34,2.1,0.05,0,0
683506,1655607600,2022-06-19 06:00:00,15.53,75,0,1.63,0,0,0
